time: 0.0000 , HR: 0.00 
time: 0.0334 , HR: 0.00 
time: 0.0667 , HR: 0.00 
time: 0.1001 , HR: 0.00 
time: 0.1335 , HR: 0.00 
time: 0.1668 , HR: 0.00 
time: 0.2002 , HR: 0.00 
time: 0.2336 , HR: 0.00 
time: 0.2669 , HR: 0.00 
time: 0.3003 , HR: 0.00 
time: 0.3337 , HR: 0.00 
time: 0.3670 , HR: 0.00 
time: 0.4004 , HR: 0.00 
time: 0.4338 , HR: 0.00 
time: 0.4671 , HR: 0.00 
time: 0.5005 , HR: 0.00 
time: 0.5339 , HR: 0.00 
time: 0.5672 , HR: 0.00 
time: 0.6006 , HR: 0.00 
time: 0.6340 , HR: 0.00 
time: 0.6673 , HR: 0.00 
time: 0.7007 , HR: 0.00 
time: 0.7341 , HR: 0.00 
time: 0.7674 , HR: 0.00 
time: 0.8008 , HR: 0.00 
time: 0.8342 , HR: 0.00 
time: 0.8675 , HR: 0.00 
time: 0.9009 , HR: 0.00 
time: 0.9343 , HR: 0.00 
time: 0.9676 , HR: 0.00 
time: 1.0010 , HR: 0.00 
time: 1.0344 , HR: 0.00 
time: 1.0677 , HR: 0.00 
time: 1.1011 , HR: 0.00 
time: 1.1345 , HR: 0.00 
time: 1.1678 , HR: 0.00 
time: 1.2012 , HR: 0.00 
time: 1.2346 , HR: 0.00 
time: 1.2679 , HR: 0.00 
time: 1.3013 , HR: 0.00 
time: 1.3347 , HR: 0.00 
time: 1.3680 , HR: 0.00 
time: 1.4014 , HR: 0.00 
time: 1.4348 , HR: 0.00 
time: 1.4681 , HR: 0.00 
time: 1.5015 , HR: 0.00 
time: 1.5349 , HR: 0.00 
time: 1.5682 , HR: 0.00 
time: 1.6016 , HR: 0.00 
time: 1.6350 , HR: 0.00 
time: 1.6683 , HR: 0.00 
time: 1.7017 , HR: 0.00 
time: 1.7351 , HR: 0.00 
time: 1.7684 , HR: 0.00 
time: 1.8018 , HR: 0.00 
time: 1.8352 , HR: 0.00 
time: 1.8685 , HR: 0.00 
time: 1.9019 , HR: 0.00 
time: 1.9353 , HR: 0.00 
time: 1.9686 , HR: 0.00 
time: 2.0020 , HR: 0.00 
time: 2.0354 , HR: 0.00 
time: 2.0687 , HR: 0.00 
time: 2.1021 , HR: 0.00 
time: 2.1355 , HR: 0.00 
time: 2.1688 , HR: 0.00 
time: 2.2022 , HR: 0.00 
time: 2.2356 , HR: 0.00 
time: 2.2689 , HR: 0.00 
time: 2.3023 , HR: 0.00 
time: 2.3357 , HR: 0.00 
time: 2.3690 , HR: 0.00 
