"filename", "language", "JavaScript", "Markdown", "HTML", "vue", "Less", "JSON", "JSON with Comments", "comment", "blank", "total"
"d:\Projects\A-Medical-Monitor-System\front-ends\monitor-demo\.eslintrc.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 1, 18
"d:\Projects\A-Medical-Monitor-System\front-ends\monitor-demo\README.md", "Markdown", 0, 19, 0, 0, 0, 0, 0, 0, 6, 25
"d:\Projects\A-Medical-Monitor-System\front-ends\monitor-demo\babel.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\Projects\A-Medical-Monitor-System\front-ends\monitor-demo\jsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 19, 0, 1, 20
"d:\Projects\A-Medical-Monitor-System\front-ends\monitor-demo\package-lock.json", "JSON", 0, 0, 0, 0, 0, 20665, 0, 0, 1, 20666
"d:\Projects\A-Medical-Monitor-System\front-ends\monitor-demo\package.json", "JSON", 0, 0, 0, 0, 0, 35, 0, 0, 1, 36
"d:\Projects\A-Medical-Monitor-System\front-ends\monitor-demo\public\index.html", "HTML", 0, 0, 16, 0, 0, 0, 0, 1, 1, 18
"d:\Projects\A-Medical-Monitor-System\front-ends\monitor-demo\src\App.vue", "vue", 0, 0, 0, 32, 0, 0, 0, 0, 5, 37
"d:\Projects\A-Medical-Monitor-System\front-ends\monitor-demo\src\api\api.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 2, 19
"d:\Projects\A-Medical-Monitor-System\front-ends\monitor-demo\src\api\request.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 7, 10, 46
"d:\Projects\A-Medical-Monitor-System\front-ends\monitor-demo\src\assets\less\index.less", "Less", 0, 0, 0, 0, 1, 0, 0, 1, 0, 2
"d:\Projects\A-Medical-Monitor-System\front-ends\monitor-demo\src\assets\less\reset.less", "Less", 0, 0, 0, 0, 158, 0, 0, 3, 14, 175
"d:\Projects\A-Medical-Monitor-System\front-ends\monitor-demo\src\components\CommonAside.vue", "vue", 0, 0, 0, 173, 0, 0, 0, 3, 27, 203
"d:\Projects\A-Medical-Monitor-System\front-ends\monitor-demo\src\components\CommonHeader.vue", "vue", 0, 0, 0, 135, 0, 0, 0, 4, 38, 177
"d:\Projects\A-Medical-Monitor-System\front-ends\monitor-demo\src\components\CommonTab.vue", "vue", 0, 0, 0, 63, 0, 0, 0, 0, 6, 69
"d:\Projects\A-Medical-Monitor-System\front-ends\monitor-demo\src\config\index.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 5, 3, 26
"d:\Projects\A-Medical-Monitor-System\front-ends\monitor-demo\src\main.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 2, 8, 28
"d:\Projects\A-Medical-Monitor-System\front-ends\monitor-demo\src\router\index.js", "JavaScript", 61, 0, 0, 0, 0, 0, 0, 1, 4, 66
"d:\Projects\A-Medical-Monitor-System\front-ends\monitor-demo\src\store\index.js", "JavaScript", 87, 0, 0, 0, 0, 0, 0, 16, 19, 122
"d:\Projects\A-Medical-Monitor-System\front-ends\monitor-demo\src\utils\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Projects\A-Medical-Monitor-System\front-ends\monitor-demo\src\views\404Page.vue", "vue", 0, 0, 0, 21, 0, 0, 0, 0, 3, 24
"d:\Projects\A-Medical-Monitor-System\front-ends\monitor-demo\src\views\LoginPage.vue", "vue", 0, 0, 0, 179, 0, 0, 0, 1, 23, 203
"d:\Projects\A-Medical-Monitor-System\front-ends\monitor-demo\src\views\MainPage.vue", "vue", 0, 0, 0, 59, 0, 0, 0, 5, 19, 83
"d:\Projects\A-Medical-Monitor-System\front-ends\monitor-demo\src\views\data\HRPage.vue", "vue", 0, 0, 0, 110, 0, 0, 0, 0, 8, 118
"d:\Projects\A-Medical-Monitor-System\front-ends\monitor-demo\src\views\data\RRPage.vue", "vue", 0, 0, 0, 110, 0, 0, 0, 0, 8, 118
"d:\Projects\A-Medical-Monitor-System\front-ends\monitor-demo\src\views\data\SpO2Page.vue", "vue", 0, 0, 0, 110, 0, 0, 0, 0, 8, 118
"d:\Projects\A-Medical-Monitor-System\front-ends\monitor-demo\src\views\home\HomePage.vue", "vue", 0, 0, 0, 154, 0, 0, 0, 3, 32, 189
"d:\Projects\A-Medical-Monitor-System\front-ends\monitor-demo\src\views\monitor\Monitor.vue", "vue", 0, 0, 0, 178, 0, 0, 0, 1, 41, 220
"d:\Projects\A-Medical-Monitor-System\front-ends\monitor-demo\src\views\user\AdminUsersPage.vue", "vue", 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"d:\Projects\A-Medical-Monitor-System\front-ends\monitor-demo\src\views\user\UserPage.vue", "vue", 0, 0, 0, 155, 0, 0, 0, 0, 27, 182
"d:\Projects\A-Medical-Monitor-System\front-ends\monitor-demo\vue.config.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 1, 0, 26
"Total", "-", 277, 19, 16, 1484, 159, 20700, 19, 54, 319, 23047
